ID;Код СМО в едином реестре ОМС;ОГРН;КПП;Полное наименование СМО;Краткое наименование СМО;Фактический адрес, заданный в строку;Фамилия руководителя;Имя руководителя;Отчество руководителя;Телефон (с кодом города);Факс (с кодом города);Телефон «горячей линии» СМО;Адрес электронной почты;Номер лицензии СМО;Дата выдачи лицензии СМО;Дата окончания действия лицензии СМО;Дата включения в реестр СМО;Дата исключения из реестра СМО
41;18005;1027806865481;184145001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В УДМУРТСКОЙ РЕСПУБЛИКЕ";ФИЛИАЛ ООО «КАПИТАЛ МС» В УДМУРТСКОЙ РЕСПУБЛИКЕ;УР, ИЖЕВСК, М.ГОРЬКОГО, 64;КИРИЛИНА;НАТАЛЬЯ;ВИКТОРОВНА;8-3412-787615;8-3412-787615;8-800-1008102;KIRILINA.NATALYA@KAPMED.RU;OC 3676-01;16.11.2018;31.12.2099;01.01.2011;
42;18006;1027739008440;183302001;"УДМУРТСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"УДМУРТСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";УР, Г.ИЖЕВСК, УДМУРТСКАЯ, 304;СМОЛИН;АНДРЕЙ;АЛЕКСАНДРОВИЧ;8-3412-723358;8-3412-723074;8-800-1000702;SMOLIN.ANDREY@SOGAZ-MED.RU;ОС 3230-01;28.02.2019;31.12.2099;01.01.2011;
43;19001;1045207042528;190202001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М""";"ООО ""СК ""ИНГОССТРАХ-М""";РЕСПУБЛИКА ХАКАСИЯ, Г. САЯНОГОРСК, МКР. ИНТЕРНАЦИОНАЛЬНЫЙ, 11;МАЛЬГИНА;НИНА;ЮРЬЕВНА;8-3902-278989;8-3902-278899;8-800-3504225;NINA.MALGINA@INGOS.RU;ОС №3837-01;09.09.2019;31.12.2099;01.01.2011;
44;19002;1022402648784;190102002;"АКЦИОНЕРНОЕ ОБЩЕСТВА ""МЕДИЦИНСКАЯ СТРАХОВАЯ ОРГАНИЗАЦИЯ ""НАДЕЖДА""";"АО МСО ""НАДЕЖДА""";РЕСПУБЛИКА ХАКАСИЯ, Г. АБАКАН, ПР. ЛЕНИНА, 49, ПОМЕЩЕНИЕ 233Н;ФЕДОСЕЕВ;ВИКТОР;ПАВЛОВИЧ;8-3902-344056;8-3902-344056;8-800-3504225;MSO@NADRH.RU;ОС №1447-01;12.12.2019;31.12.2099;01.01.2011;29.04.2020
45;19006;1025004642519;190143001;"ХАКАССКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ ""РЕСО-МЕД""";"ХАКАССКИЙ ФИЛИАЛ ООО ""СМК ""РЕСО-МЕД""";РЕСПУБЛИКА ХАКАСИЯ, ГОРОД АБАКАН, ПРОСПЕКТ ЛЕНИНА, ДОМ 49, ПОМЕЩЕНИЕ 233Н;ФЕДОСЕЕВ;ВИКТОР;ПАВЛОВИЧ;8-3902-344058;8-3902-248846;8-800-2009204;RH@RESO-MED.COM;ОС №0879-01;29.08.2019;31.12.2099;30.08.2019;
46;20001;1027739099772;774401001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ"" В ГОРОДЕ ГРОЗНЫЙ";"ФИЛИАЛ АО ""МАКС-М"" В Г.ГРОЗНЫЙ";ЧЕЧЕНСКАЯ РЕСПУБЛИКА, Г.ГРОЗНЫЙ, УЛ. ГРИБОЕДОВА, 97А;ТАПАЕВ;АХМЕД;ШАРИПОВИЧ;8-8712-224945, 8-8712-224945;8-8712-223196;8-800-3335503;"MAKC-M@INBOX.RU; PRIEM-GROZNIY@MAKC.RU";OC №2226-01;23.01.2017;31.12.2099;01.01.2011;
47;21001;1082124001783;212401001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧУВАШСКАЯ МЕДИЦИНСКАЯ СТРАХОВАЯ КОМПАНИЯ""";"АО ""ЧУВАШСКАЯ МСК""";ЧУВАШСКАЯ РЕСПУБЛИКА, Г.НОВОЧЕБОКСАРСК, УЛ. КОМСОМОЛЬСКАЯ, Д.21;ДУНИН;АЛЕКСАНДР;ИВАНОВИЧ;8-8352-733815, 8-8352-730442;8-8352-733815;8-800-2019546;NOVSBK@CBX.RU;ОС № 2136-01;09.11.2015;31.12.2099;15.04.2011;
48;21002;1072130019378;213001001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРАХОВАЯ КОМПАНИЯ ""ЧУВАШИЯ-МЕД""";"АО ""СК ""ЧУВАШИЯ-МЕД""";ЧУВАШСКАЯ РЕСПУБЛИКА, Г. ЧЕБОКСАРЫ, УЛ. КООПЕРАТИВНАЯ, Д. 6;АКИМОВА;ГУЛЬМИРА;ТАГАЕВНА;8-8352-709868, 8-8352-662226;8-8352-621201;8-800-8800250;SO_SBK@CHTTS.RU;ОС № 0552-01;25.03.2015;31.12.2099;15.04.2011;
49;22001;1025004642519;222543001;"АЛТАЙСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД""";"АЛТАЙСКИЙ ФИЛИАЛ ООО ""СМК РЕСО-МЕД""";АЛТАЙСКИЙ КРАЙ, Г.БАРНАУЛ, УЛ. МАЛО-ОЛОНСКАЯ, 17;ОСИПОВ;ЕВГЕНИЙ;АНДРЕЕВИЧ;8-385-2243637;8-385-2242972;8-800-2009204;SEKRETAR@ALTAI.RESO-MED.COM;ОС №0879-01;29.08.2019;31.12.2099;01.01.2011;
50;22003;1027739449913;222143001;"ФИЛИАЛ ""АЛТАЙСКИЙ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";"ФИЛИАЛ ""АЛТАЙСКИЙ"" АО ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";АЛТАЙСКИЙ КРАЙ, Г.БАРНАУЛ, ПР.СТРОИТЕЛЕЙ, 22, ОФИС 317;ДОЛГОВ;ЭДУАРД;АНАТОЛЬЕВИЧ;8-385-2667883;8-385-2667883;8-800-7700799;SV_ALTAI@BK.RU;ОС №2354-01;13.04.2020;31.12.2099;01.01.2011;
51;22006;1027806865481;222543001;"ФИЛИАЛ ООО ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В АЛТАЙСКОМ КРАЕ";"ФИЛИАЛ ООО ""КАПИТАЛ МС"" В АЛТАЙСКОМ КРАЕ";АЛТАЙСКИЙ КРАЙ, Г.БАРНАУЛ, ПРОСПЕКТ СТРОИТЕЛЕЙ, 4Б;ШКУРАТОВА;СВЕТЛАНА;НИКОЛАЕВНА;8-3852-202817;8-3852-202823;8-800-1008102;SVETLANA.SHKURATOVA@KAPMED.RU;ОС №3676 - 01;16.11.2018;31.12.2099;01.01.2011;
52;23117;1177746612581;230943001;КРАСНОДАРСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;Г.КРАСНОДАР, УЛ. КРАСНАЯ, ДОМ 33;ТАРАБАРА;ЛЮДМИЛА;АНДРЕЕВНА;8-861-9922386, 8-495-6444404;8-861-9922386, 8-495-6444404;8-800-1008005;KRASNODAR@VTBMS.RU, VTBMS@VTBMS.RU;ОС № 0257-01;25.10.2017;31.12.2099;26.05.2017;26.03.2020
53;23207;1047100775963;231043002;"КРАСНОДАРСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬФАСТРАХОВАНИЕ-ОМС""";"КРАСНОДАРСКИЙ ФИЛИАЛ ООО ""АЛЬФАСТРАХОВАНИЕ-ОМС""";Г.КРАСНОДАР, УЛ.ОДЕССКАЯ, Д.48;ПОЛУШКИНА;НИНА;ВАСИЛЬЕВНА;8-861-2104429, 8-495-7880999;8-861-2104429, 8-495-7850888;8-800-5551001;POLUSHKINANV@ALFASTRAH.RU, ARYGAKOV@ALFASTRAH.RU;ОС № 0193-01;03.08.2017;31.12.2099;30.07.2013;
54;23407;1027806865481;230843001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ"" В КРАСНОДАРСКОМ КРАЕ";"ООО ""КАПИТАЛ МС""";Г.КРАСНОДАР, УЛ.КИРОВА, Д.131;ГОЛОВЕНКО;ОЛЬГА;ДМИТРИЕВНА;8-861-2590919, 8-495-2878125;8-861-2590919, 8-495-2878126;8-800-1008102;GOLOVENKO.OLGA@KAPMED.RU, OMS@KAPMED.RU;ОС № 3676 - 01;16.11.2018;31.12.2099;01.01.2011;
55;23607;1027739008440;230843001;"КРАСНОДАРСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";РФ, Г.КРАСНОДАР, УЛ.КРАСНАЯ, Д.33;ТАРАБАРА;ЛЮДМИЛА;АНДРЕЕВНА;8-861-2625400, 8-495-2252310;8-861-2625400, 8-495-2252310;8-800-1000702;TARABARA.LUDMILA@SOGAZ-MED.RU, TOE@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;19.08.2014;
56;24001;1022402648784;246101001;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕДИЦИНСКАЯ СТРАХОВАЯ ОРГАНИЗАЦИЯ ""НАДЕЖДА""";"АО МСО ""НАДЕЖДА""";660077, Г. КРАСНОЯРСК, УЛ. ВЕСНЫ, Д. 36, 3 ЭТАЖ;ДЁМИН;ЮРИЙ;ФЁДОРОВИЧ;8-391-2008090;8-391-2620330;8-800-7003368;SEKRETAR@KRSK.RESO-MED.COM;ОС № 1447-01;12.12.2019;31.12.2099;01.01.2011;29.04.2020
57;24002;1042402509423;246401001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МЕДИЦИНСКАЯ СТРАХОВАЯ КОМПАНИЯ ""МЕДИКА-ВОСТОК""";"ООО МСК ""МЕДИКА-ВОСТОК""";660093, Г. КРАСНОЯРСК, УЛ. КОЛЬЦЕВАЯ, Д. 5, ПОМ.70;ФРОЛОВА;ГАЛИНА;КОНСТАНТИНОВНА;8-391-2365714;8-391-2365714;8-800-3509950;SECRETARY@MVOSTOK.RU;ОС № 0660-01;22.09.2015;;01.01.2011;22.04.2020
58;24004;1177746612581;246543001;КРАСНОЯРСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;КРАСНОЯРСКИЙ ФИЛИАЛ ООО ВТБ МС;660022, Г. КРАСНОЯРСК, УЛ. ПАРТИЗАНА ЖЕЛЕЗНЯКА, 6 А , ПОМ. 9;ОРЛОВА;АЛЁНА;ЮРЬЕВНА;8-391-2709992;8-391-2709992;8-800-1008005;ORLOVAAU@VTBMS.RU;ОС № 2890-01;14.09.2017;;01.01.2011;26.03.2020
59;24005;1027810220382;246602001;"КРАСНОЯРСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""КАПИТАЛ-ПОЛИС МЕДИЦИНА""";"КРАСНОЯРСКИЙ ФИЛИАЛ ООО СК ""КАПИТАЛ-ПОЛИС МЕД""";660017, Г. КРАСНОЯРСК, ПР.ЛЕНИНА, Д.122;КОЛЬБА;ВЕРА;ИВАНОВНА;8-391-2662330;8-391-2662330;8-800-3501199;OMS@KAPITALPOLISMED.RU;ОС № 2875-01;26.02.2018;;01.01.2011;
60;24008;1045207042528;246243001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М"" В Г.КРАСНОЯРСК - МЕДИКА-ВОСТОК";"ФИЛИАЛ ООО ""СК ""ИНГОССТРАХ-М"" В Г.КРАСНОЯРСК - МЕДИКА-ВОСТОК";Г. КРАСНОЯРСК, ПР.КРАСНОЯРСКИЙ РАБОЧИЙ Д.60;АРУТЮНОВ;АЛЕКСАНДР;ГЕНРИХОВИЧ;8-391-2365713;8-391-2365713;8-800-3509950;ALEKSANDR.ARUTYUNOV@INGOS.RU;ОС № 3837-01;09.09.2019;31.12.2099;23.04.2020;
61;24020;1027739008440;246543001;"КРАСНОЯРСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"КРАСНОЯРСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";КРАЙ КРАСНОЯРСКИЙ, ГОРОД КРАСНОЯРСК, УЛИЦА ПАРТИЗАНА ЖЕЛЕЗНЯКА, ДОМ 6, КОРПУС А, ОФИС 9;ОРЛОВА;АЛЁНА;ЮРЬЕВНА;8-391-2709992;8-391-2709992;8-800-1000702;KRASNOYARSK@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;12.07.2019;
62;24021;1025004642519;503501001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД""";"ООО ""СМК РЕСО-МЕД""";Г. ПАВЛОВСКИЙ ПОСАД, УЛ. УРИЦКОГО, Д. 26;ДЁМИН;ЮРИЙ;ФЁДОРОВИЧ;8-499-3727915;8-499-3727916;8-800-2009204;OFFICE@RESO-MED.COM;ОС № 0879-01;29.08.2019;31.12.2099;30.08.2019;29.04.2020
63;24022;1025004642519;246543001;"КРАСНОЯРСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ РЕСО-МЕД""";"КРАСНОЯРСКИЙ ФИЛИАЛ ООО ""СМК РЕСО-МЕД""";Г. КРАСНОЯРСК, УЛ. ВЕСНЫ, Д. 36;ХАЛИТОВ;РЕНАТ;ФАНИЛЬЕВИЧ;8-391-2008090;8-391-2008090;8-800-2009204;SECRETAR@KRSK.RESO-MED.COM;ОС № 0879-01;29.08.2019;31.12.2099;30.04.2020;
64;25011;1022501895350;254301001;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ МЕДИЦИНСКАЯ ОРГАНИЗАЦИЯ ""ВОСТОЧНО-СТРАХОВОЙ АЛЬЯНС""";"ООО СМО ""ВОСТОЧНО-СТРАХОВОЙ АЛЬЯНС""";ПРИМОРСКИЙ КРАЙ, Г.ВЛАДИВОСТОК, УЛ. АЛТАЙСКАЯ, 3;ТИХОНОВ;БОРИС;ПЕТРОВИЧ;8-423-2446820;8-423-2446820;8-800-3337903;VL@VSAL.RU;ОС № 3570-01;14.10.2015;;24.08.2011;
65;25016;1027739449913;253643001;"ФИЛИАЛ ВЛАДИВОСТОКСКИЙ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";"ФИЛИАЛ ""ВЛАДИВОСТОКСКИЙ"" АО ""СТРАХОВАЯ ГРУППА СПАССКИЕ ВОРОТА-М""";ПРИМОРСКИЙ КРАЙ, Г.ВЛАДИВОСТОК, УЛ. ПОЛОГАЯ, 66;ПЕТРУХИНА;НАТАЛЬЯ;АНАТОЛЬЕВНА;8-423-2208938;8-423-2402637;8-800-7700799;SV-M-V@MAIL.RU;ОС № 2354-01;13.04.2020;31.12.2099;01.01.2011;
66;26004;1177746612581;263243001;СТАВРОПОЛЬСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;СТАВРОПОЛЬСКИЙ ФИЛИАЛ ООО ВТБ МС;СТАВРОПОЛЬСКИЙ КРАЙ, Г. ПЯТИГОРСК, УЛ. МАЛЫГИНА, 30;МАКОЕВА;ТАИРА;АГУБЕЕВНА;8-879-3200420;8-879-3200422;8-800-1008005;PJATIGORSK@VTBMS.RU;ОС № 2890-01;14.09.2017;31.12.2099;30.05.2017;31.03.2020
67;26005;1045207042528;263543001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М"" В Г. СТАВРОПОЛЕ";"ФИЛИАЛ ООО ""СК ""ИНГОССТРАХ-М"" В Г. СТАВРОПОЛЕ";СТАВРОПОЛЬСКИЙ КРАЙ, Г. СТАВРОПОЛЬ, УЛ. ПЕРВАЯ ПРОМЫШЛЕННАЯ, Д. 3;ЛАВРИНЕНКО;АНАТОЛИЙ;ФИЛИППОВИЧ;8-8652-560671;8-8652-560672;8-865-2560668;INGOS-M@INGOS.RU, INGOS-M@INGOS.STAVROPOL.RU;ОС № 3837-01;09.09.2019;31.12.2099;29.08.2011;
68;26008;1027739008440;263243001;"СТАВРОПОЛЬСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"СТАВРОПОЛЬСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";СТАВРОПОЛЬСКИЙ КРАЙ, Г. ПЯТИГОРСК, УЛ. МАЛЫГИНА, Д. 30;МАКОЕВА;ТАИРА;АГУБЕЕВНА;8-879-3200420;8-879-3200420;8-800-1000702;STAVROPOI@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;15.06.2018;
69;27002;1177746612581;272143001;ХАБАРОВСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;ХАБАРОВСКИЙ ФИЛИАЛ ООО ВТБ МС;ХАБАРОВСКИЙ КРАЙ, Г. ХАБАРОВСК, УЛ. МУРАВЬЕВА-АМУРСКОГО, Д. 44;ЛАЗЕРКО;НЕЛЛИ;АЛЕКСАНДРОВНА;8-4212-408313;8-4212-408313;8-800-1008005;SHCHERBAKOVAIG@VTBMS.RU, KHABAROVSK-MS@VTBMS.RU;ОС № 2890-01;14.09.2017;31.12.2099;01.01.2011;26.03.2020
70;27004;1027739449913;272102001;"ФИЛИАЛ ""ХАБАРОВСКИЙ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";"ФИЛИАЛ ""ХАБАРОВСКИЙ"" АО ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";ХАБАРОВСКИЙ КРАЙ, Г. ХАБАРОВСК, УЛ, ДЗЕРЖИНСКОГО, Д. 34, ОФ. 204;ШЕПТУР;ЮЛИЯ;ВИКТОРОВНА;8-4212-421602;8-4212-421602;8-800-7700799;SPASMED-KHV@MAIL.RU;ОС № 2354-01;13.04.2020;31.12.2099;01.01.2011;
71;27005;1027739008440;272443001;"ХАБАРОВСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"ХАБАРОВСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";ХАБАРОВСКИЙ КРАЙ, Г. ХАБАРОВСК, УЛ. ВОЛОЧАЕВСКАЯ, Д. 133;ЛАЗЕРКО;НЕЛЛИ;АЛЕКСАНДРОВНА;8-421-2474611;8-421-2474629;8-800-1000702;KHB@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;31.12.2099;27.07.2015;
72;28001;1027739449913;280143001;"ФИЛИАЛ ""АМУРСКИЙ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";"ФИЛИАЛ ""АМУРСКИЙ"" АО ""СТРАХОВАЯ ГРУППА ""СПАССКИЕ ВОРОТА-М""";АМУРСКАЯ ОБЛАСТЬ, Г.БЛАГОВЕЩЕНСК, ПЕР.СВЯТИТЕЛЯ ИННОКЕНТИЯ, Д.2;ЧАПЛИНСКАЯ;ОКСАНА;АЛЕКСАНДРОВНА;8-4162-539285;8-4162-539285;8-800-7700799;SPASSKIE-AMUR@YANDEX.RU;ОС № 2354 - 01;13.04.2020;01.01.2099;01.01.2011;
73;28004;1027739008440;280143001;"АМУРСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"АМУРСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";ОБЛАСТЬ АМУРСКАЯ, ГОРОД БЛАГОВЕЩЕНСК, УЛИЦА КРАСНОАРМЕЙСКАЯ, ДОМ 110, ОФИС 401;ДЬЯЧКОВА;ЕЛЕНА;ЛЕОНИДОВНА;8-4162-237350;8-4162-237356;8-800-1000702;AMUR@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;01.01.2099;01.01.2013;
74;29030;1027739008440;290102002;"АРХАНГЕЛЬСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"АРХАНГЕЛЬСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";АРХАНГЕЛЬСКАЯ ОБЛ, Г.АРХАНГЕЛЬСК, УЛ.НАБЕРЕЖНАЯ СЕВЕРНОЙ ДВИНЫ, Д.112, КОРП.3;ШАДРИНА;ЕЛЕНА;ПАВЛОВНА;8-8182-421050;8-8182-421050;8-800-1000702;ARH@SOGAZ-MED.RU;ОС № 3230-01;28.02.2019;28.02.2099;01.01.2011;
75;29031;1027806865481;290143001;ФИЛИАЛ ООО «КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ» В АРХАНГЕЛЬСКОЙ ОБЛАСТИ;ФИЛИАЛ ООО «КАПИТАЛ МС» В АРХАНГЕЛЬСКОЙ ОБЛАСТИ;АРХАНГЕЛЬСКАЯ,ОБЛ, Г.АРХАНГЕЛЬСК,ПЛ.ЛЕНИНА,Д.4,ОФИС 2008;ЛОДЫГИН;ЕВГЕНИЙ;ИГОРЕВИЧ;8-8182-207949;8-8182-207949;8-800-1008102;OMS.ARHANGELSK@KAPMED.RU;ОС № 3676-01;16.11.2018;16.11.2099;01.01.2011;
76;30002;1027739008440;301502001;"АСТРАХАНСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";"АСТРАХАНСКИЙ ФИЛИАЛ АО ""СТРАХОВАЯ КОМПАНИЯ ""СОГАЗ-МЕД""";Г. АСТРАХАНЬ, УЛ.КРАСНОГО ЗНАМЕНИ, ДОМ 16 А, ЛИТЕР И;ШАБАЛИНА;ТАТЬЯНА;ЮРЬЕВНА;8-8512-441814;8-8495-2252310;8-800-1000702;SHABALINATU@SOGAZ-MED.RU;ОС №3230-01;28.02.2019;31.12.2099;01.01.2011;
77;31001;1027739099772;770501001;"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""МЕДИЦИНСКАЯ АКЦИОНЕРНАЯ СТРАХОВАЯ КОМПАНИЯ "" В ГОРОДЕ БЕЛГОРОДЕ";"ФИЛИАЛ АО ""МАКС-М"" В Г. БЕЛГОРОДЕ";БЕЛГОРОДСКАЯ ОБЛАСТЬ,Г. БЕЛГОРОД, УЛ. НИКОЛАЯ ЧУМИЧЕВА, Д. 41;ШЕВЧЕНКО;КОНСТАНТИН;ВАСИЛЬЕВИЧ;8-472-2328124;8-472-2356591;8-800-5556603;RECEPTION@MAKC-M31.RU;ОС № 2226-01;23.01.2017;31.12.2099;01.01.2011;
78;31006;1043600049041;366401001;"БЕЛГОРОДСКИЙ ФИЛИАЛ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКАЯ СТРАХОВАЯ КОМПАНИЯ ""ИНКО-МЕД""";"БЕЛГОРОДСКИЙ ФИЛИАЛ ООО ""МСК ""ИНКО-МЕД""";БЕЛГОРОД Г, Н. ОСТРОВСКОГО УЛ, 22 Д;ГАПЕЕВ;АЛЕКСАНДР;ГРИГОРЬЕВИЧ;8-4722-202876;8-920-2039175;8-800-1003603;INKOBELGOROD@INKO-MED.RU;ОС № 2031-01;09.11.2015;31.12.2099;14.08.2014;
79;32020;1045207042528;325703001;"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВАЯ КОМПАНИЯ ""ИНГОССТРАХ-М"" В Г. БРЯНСК";"ФИЛИАЛ ООО ""СК ""ИНГОССТРАХ-М"" В Г. БРЯНСК";БРЯНСКАЯ ОБЛАСТЬ, Г. БРЯНСК, УЛ. РОМАШИНА Д. 32;ШАЧНЕВ;ИГОРЬ;АЛЕКСАНДРОВИЧ;8-4832-303717;8-4832-303717;8-800-1007755;IGOR.SHATCHNEV@INGOS.RU;ОС № 3837-01;09.09.2019;31.12.2099;01.01.2011;
80;32030;1177746612581;325743001;БРЯНСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ;БРЯНСКИЙ ФИЛИАЛ ООО ВТБ МС;БРЯНСКАЯ ОБЛАСТЬ, Г. БРЯНСК, УЛ. РОМАШИНА Д. 1;ПОТЕМКИНА;СВЕТЛАНА;ВАСИЛЬЕВНА;8-4832-367423;8-4832-367423;8-800-1008005;POTEMKINASV@VTBMS.RU;ОС № 2890-01;14.09.2017;31.12.2099;01.01.2011;26.03.2020
